Id,R,Nome,Squadra,Prezzo,Rating,Mate,Regularness,Pg19_20,Mv19_20,Mf19_20,Ass19_20,Amm19_20,Pg18_19,Mv18_19,Mf18_19,Ass18_19,A  18_19
507,A,MURIEL,Atalanta,39,4,,4,34,6.32,7.98,1,1,19,6,6.92,0,1
608,A,ZAPATA D.,Atalanta,33,4,,5,28,6.54,8.66,6,1,37,6.45,8.35,7,5
4427,C,MALINOVSKYI,Atalanta,26,4,,4,34,6.27,6.91,3,5,,,,0,
2160,D,GOSENS,Atalanta,25,4,,5,34,6.39,7.38,7,3,28,6.18,6.54,2,2
177,A,ILICIC,Atalanta,21,3,,3,26,6.56,8.46,4,1,31,6.39,7.55,6,4
2077,C,PASALIC,Atalanta,18,3,,3,35,6.15,6.88,3,6,33,5.89,6.45,3,1
2792,P,MUSSO,Atalanta,16,4,,5,38,6.28,5.08,0,1,29,6.26,4.81,0,4
788,C,FREULER,Atalanta,15,2,,5,31,6.05,6.23,1,3,35,6.16,6.33,2,4
5001,C,MIRANCHUK,Atalanta,15,3,,3,,,,0,,,,,0,
2741,C,PESSINA,Atalanta,14,3,,4,35,6.04,6.56,0,7,12,6.1,6.3,1,0
2130,D,HATEBOER,Atalanta,13,4,MAEHLE,5,32,5.88,5.85,4,10,35,6.06,6.57,5,5
5292,A,LAMMERS,Atalanta,13,3,,2,,,,,,,,,,
4359,A,PICCOLI,Atalanta,12,3,,3,1,5.5,5.5,0,0,2,5.5,5.5,0,0
22,C,DE ROON,Atalanta,11,2,,4,35,5.97,6.06,5,12,35,6.01,6.1,1,8
787,D,DJIMSITI,Atalanta,10,3,,3,34,6.07,6.21,1,5,24,5.84,5.86,1,3
695,D,TOLOI,Atalanta,9,3,,5,33,6.18,6.35,4,11,21,6.07,6.19,3,1
5375,D,MAEHLE,Atalanta,9,4,HATEBOER,4,,,,,,,,,,
2181,D,PALOMINO,Atalanta,8,2,,3,30,5.97,6.05,1,5,30,6.05,6.07,1,5
770,D,PEZZELLA GIU.,Atalanta,7,3,,3,23,5.71,5.66,0,2,9,5.2,4.9,0,1
2739,D,RECA,Atalanta,5,1,,2,25,5.66,5.7,2,2,3,6.5,6.5,0,0
4332,D,DEMIRAL,Atalanta,5,5,,4,6,6.25,6.83,1,1,14,6.29,6.61,0,3
4934,D,LOVATO,Atalanta,4,1,,1,1,0,0,0,0,,,,,
4888,D,SUTALO,Atalanta,2,1,,2,7,5.88,5.75,0,1,,,,0,
2297,P,ROSSI F.,Atalanta,1,1,,1,1,6,5,0,0,1,0,0,0,0
4,P,SPORTIELLO,Atalanta,1,1,,1,6,6.17,5.33,0,0,35,6.11,4.21,0,5
5444,C,CORTINOVIS,Atalanta,1,1,,1,,,,,,,,,,
4268,A,ARNAUTOVIC,Bologna,24,4,,5,,,,,,,,,,
2625,C,SORIANO,Bologna,20,5,,5,29,6.09,6.62,4,3,28,5.9,6.1,2,6
2167,C,ORSOLINI,Bologna,18,4,SKOV OLSEN,4,37,5.92,6.69,6,3,35,6.19,7.03,4,2
2719,A,BARROW,Bologna,18,3,,4,25,6.14,7.28,5,1,22,5.82,6,0,0
2744,C,SVANBERG,Bologna,12,3,,4,25,5.94,6.11,1,2,23,5.67,5.71,2,2
2154,C,VIGNATO,Bologna,10,3,,3,,,,0,,10,6,6.4,1,0
4422,D,TOMIYASU,Bologna,10,4,,5,29,5.83,5.9,3,8,,,,0,
133,P,SKORUPSKI,Bologna,9,3,,5,37,5.99,4.31,0,2,38,6.11,4.62,0,1
537,A,SANSONE,Bologna,9,4,,3,33,5.75,6.02,2,5,15,6,6.54,4,3
4415,C,SKOV OLSEN,Bologna,9,3,ORSOLINI,3,26,5.62,5.76,0,2,,,,0,
487,D,DE SILVESTRI,Bologna,7,3,,3,29,5.77,5.73,0,2,32,6,6.29,4,2
4393,C,SCHOUTEN,Bologna,7,1,,4,19,5.78,5.56,0,6,,,,0,
2192,D,BONIFAZI,Bologna,7,4,,4,17,5.56,5.85,0,2,27,5.94,6.13,0,2
4891,D,SOUMAORO,Bologna,7,3,,4,,,,,,,,,,
2746,D,DIJKS,Bologna,6,3,,4,13,5.73,5.54,0,5,25,6,5.98,0,5
4869,C,DOMINGUEZ,Bologna,6,2,,3,16,5.87,5.9,1,1,,,,0,
